
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-27 20:32:08 /api/price-feed/quotes ............................................................. ~ 513.23ms
  2026-02-27 20:32:10 /api/price-feed/quotes ............................................................. ~ 500.89ms
  2026-02-27 20:32:12 /api/price-feed/quotes ............................................................... ~ 0.69ms
  2026-02-27 20:32:15 /api/price-feed/quotes ............................................................... ~ 0.45ms
  2026-02-27 20:32:18 /api/price-feed/quotes ............................................................... ~ 0.89ms
  2026-02-27 20:32:20 /api/price-feed/quotes ............................................................. ~ 514.96ms
  2026-02-27 20:32:22 /api/price-feed/quotes ............................................................. ~ 512.22ms
  2026-02-27 20:32:25 /api/price-feed/quotes ............................................................... ~ 0.35ms
  2026-02-27 20:32:28 /api/price-feed/quotes ............................................................... ~ 0.58ms
  2026-02-27 20:32:30 /api/price-feed/quotes ............................................................... ~ 0.38ms
  2026-02-27 20:32:32 /api/price-feed/quotes ............................................................... ~ 0.49ms
  2026-02-27 20:32:35 /api/price-feed/quotes ............................................................. ~ 505.71ms
  2026-02-27 20:32:37 /api/price-feed/quotes ............................................................. ~ 514.93ms
  2026-02-27 20:32:40 /api/price-feed/quotes ............................................................... ~ 0.42ms
  2026-02-27 20:32:42 /api/price-feed/quotes ............................................................... ~ 0.51ms
  2026-02-27 20:32:44 /api/price-feed/quotes ............................................................... ~ 0.44ms
  2026-02-27 20:32:47 /api/price-feed/quotes ............................................................... ~ 0.62ms
  2026-02-27 20:32:50 /api/price-feed/quotes ............................................................... ~ 0.44ms
  2026-02-27 20:32:53 /api/price-feed/quotes ............................................................. ~ 501.23ms
  2026-02-27 20:32:55 /api/price-feed/quotes ............................................................. ~ 504.49ms
  2026-02-27 20:32:57 /api/price-feed/quotes ............................................................. ~ 504.61ms
  2026-02-27 20:33:00 /api/price-feed/quotes ............................................................. ~ 504.22ms
  2026-02-27 20:33:02 /api/price-feed/quotes ............................................................. ~ 512.68ms
  2026-02-27 20:33:05 /api/price-feed/quotes ............................................................... ~ 0.52ms
  2026-02-27 20:33:07 /api/price-feed/quotes ............................................................... ~ 0.54ms
  2026-02-27 20:33:10 /api/price-feed/quotes ............................................................... ~ 0.49ms
  2026-02-27 20:33:12 /api/price-feed/quotes ............................................................... ~ 0.28ms
  2026-02-27 20:33:15 /api/price-feed/quotes ............................................................. ~ 515.04ms
  2026-02-27 20:33:17 /api/price-feed/quotes ............................................................. ~ 505.63ms
  2026-02-27 20:33:21 /api/price-feed/quotes ............................................................... ~ 0.53ms
  2026-02-27 20:33:24 /api/price-feed/quotes ............................................................... ~ 0.32ms
  2026-02-27 20:33:27 /api/price-feed/quotes ............................................................... ~ 0.39ms
  2026-02-27 20:33:30 /api/price-feed/quotes ............................................................... ~ 0.73ms
  2026-02-27 20:33:32 /api/price-feed/quotes ............................................................... ~ 0.38ms
  2026-02-27 20:33:35 /api/price-feed/quotes ............................................................... ~ 0.81ms
  2026-02-27 20:33:37 /api/price-feed/quotes ............................................................... ~ 0.40ms
  2026-02-27 20:33:39 /api/price-feed/quotes ............................................................. ~ 509.65ms
  2026-02-27 20:33:41 /api/price-feed/quotes ............................................................. ~ 500.78ms
  2026-02-27 20:33:44 /api/price-feed/quotes ............................................................. ~ 503.22ms
  2026-02-27 20:33:47 /api/price-feed/quotes ............................................................... ~ 0.45ms
  2026-02-27 20:33:50 /api/price-feed/quotes ............................................................... ~ 0.29ms
  2026-02-27 20:33:52 /api/price-feed/quotes ............................................................... ~ 0.41ms
  2026-02-27 20:33:54 /api/price-feed/quotes ............................................................... ~ 0.88ms
  2026-02-27 20:33:56 /api/price-feed/quotes ............................................................... ~ 0.71ms
  2026-02-27 20:33:59 /api/price-feed/quotes ............................................................. ~ 502.10ms
  2026-02-27 20:34:01 /api/price-feed/quotes ............................................................. ~ 500.75ms
  2026-02-27 20:34:04 /api/price-feed/quotes ............................................................. ~ 500.73ms
  2026-02-27 20:34:07 /api/price-feed/quotes ............................................................. ~ 514.27ms
  2026-02-27 20:34:09 /api/price-feed/quotes ............................................................... ~ 0.38ms
  2026-02-27 20:34:11 /api/price-feed/quotes ............................................................... ~ 0.47ms
  2026-02-27 20:34:13 /api/price-feed/quotes ............................................................... ~ 0.41ms
